GRUPO,ESPÉCIE,NOME POPULAR,CARACTERÍSTICAS
Angiosperma,Mimosa tenuiflora,Jurema-preta,Árvore com espinhos e flores brancas muito comum no sertão.
Angiosperma,Cenostigma pyramidale,Catingueira,Folhas pequenas e amareladas que caem no período de seca.
Angiosperma,Ziziphus joazeiro,Juazeiro,Árvore que permanece verde mesmo durante as secas mais severas.
Angiosperma,Cereus jamacaru,Mandacaru,Cacto alto sem folhas com espinhos e flores noturnas.
Angiosperma,Pilosocereus gounellei,Xique-xique,Cacto rasteiro muito resistente com espinhos abundantes.
Angiosperma,Amburana cearensis,Cumaru,Árvore medicinal com sementes aromáticas e casca que solta.
Angiosperma,Commiphora leptophloeos,Imburana-de-cambão,Tronco verde e liso que realiza fotossíntese.
Angiosperma,Spondias tuberosa,Umbuzeiro,Possui raízes que armazenam água (xilopódios).
Angiosperma,Anadenanthera colubrina,Angico,Árvore de grande porte com casca rugosa e medicinal.
Angiosperma,Croton blanchetianus,Marmeleiro,Arbusto que domina a paisagem cinzenta da Caatinga.
Angiosperma,Libidibia ferrea,Pau-ferro,Madeira muito dura e casca com manchas claras.
Angiosperma,Myracrodruon urundeuva,Aroeira-do-sertão,Madeira nobre e resistente com propriedades cicatrizantes.
Angiosperma,Encholirium spectabile,Macambira,Planta da família das bromélias com espinhos nas folhas.
Angiosperma,Ipomoea asarifolia,Salsa-brava,Planta rasteira com flores roxas comuns em beiras de estrada.
Angiosperma,Cnidoscolus quercifolius,Faveleira,Planta com pelos urticantes e sementes oleaginosas.
Angiosperma,Tabebuia aurea,Paraatudo,Conhecida como Ipê-amarelo do cerrado e caatinga.
Angiosperma,Schinopsis brasiliensis,Baraúna,Árvore de madeira escura e extremamente pesada.
Angiosperma,Syagrus coronata,Ouricuri,Palmeira nativa cujas amêndoas são comestíveis.
Angiosperma,Manihot carthagenensis,Maniçoba,Parente da mandioca com látex e folhas largas.
Angiosperma,Aspidosperma pyrifolium,Pereiro,Árvore de madeira clara e flores pequenas.
Pteridofita,Selaginella convoluta,Flor-de-ressurreição,Planta que se enrola na seca e abre no primeiro sinal de chuva.
Pteridofita,Marsilea ancylopoda,Trevo-de-quatro-folhas,Samambaia aquática que surge em poços após as chuvas.
Pteridofita,Adiantum capillus-veneris,Avenca,Encontrada em áreas de sombra perto de fontes de água.
Pteridofita,Pleopeltis polypodioides,Samambaia-ressurreição,Cresce sobre troncos e pedras úmidas em grotas.
Pteridofita,Azolla caroliniana,Azola,Pequena samambaia flutuante que aparece em açudes.
Briofita,Bryum argenteum,Musgo-prateado,Musgo pequeno que resiste a altas temperaturas em rochas.
Briofita,Frullania ericoides,Musgo-de-tronco,Cresce aderido à casca de árvores como o Juazeiro.
Briofita,Riccia gangetica,Hepática-de-solo,Planta rasteira que aparece no solo úmido após as primeiras trovoadas.
Gimnosperma,Podocarpus lambertii,Pinheiro-bravo,Rara Gimnosperma nativa que ocorre em áreas mais altas do Ceará.
Gimnosperma,Cycas revoluta,Sagu,Embora introduzida é a Gimnosperma mais vista em jardins de Irauçuba.
