GRUPO,ESPÉCIE,NOME POPULAR,CARACTERÍSTICAS
Briófita,Octoblepharum albidum,Musgo-branco,Forma tufos brancos ou esverdeados em troncos.
Briófita,Hyophila involuta,Musgo-de-parede,Cresce em pedras úmidas; folhas enrolam quando secas.
Briófita,Racopilum tomentosum,Musgo-tapete,Forma tapetes densos e verdes sobre madeira podre.
Briófita,Frullania sp.,Hepática-avermelhada,Planta rasteira de cor marrom ou avermelhada.
Briófita,Lejeunea trinitensis,Hepática-miúda,"Muito pequena, cresce sobre folhas de árvores (epífila)."
Briófita,Fissidens sp.,Musgo-pente,"Folhas organizadas em duas fileiras, como um pente."
Briófita,Meteorium nigrescens,Musgo-barba,Fios longos que pendem dos galhos das árvores na serra.
Briófita,Calymperes palisotii,Musgo-de-casca,Comum em cascas de árvores em locais com sombra.
Briófita,Leucobryum martianum,Musgo-almofada,Forma almofadas gordas e macias no chão da floresta.
Briófita,Riccia vitalii,Hepática-estrela,Cresce no solo úmido em formato de pequenas rosetas.
Briófita,Campylopus heterostachys,Musgo-de-serra,Tufos eretos de cor verde-amarelada em barrancos.
Briófita,Bryum sp.,Musgo-comum,Pequenas cápsulas de sementes que parecem lanternas.
Briófita,Sematophyllum sp.,Musgo-brilhante,Possui um brilho sedoso quando está molhado.
Briófita,Cheilolejeunea sp.,Hepática-de-tronco,Forma manchas verdes circulares nas cascas lisas.
Briófita,Radula sp.,Hepática-amarela,Folhas arredondadas e sobrepostas de cor amarelada.
Briófita,Metzgeria sp.,Hepática-fita,Parece uma fita verde fina e ramificada.
Briófita,Plagiochila sp.,Hepática-de-serra,Folhas com bordas levemente dentadas.
Briófita,Phaeoceros laevis,Antócero,Possui estruturas que parecem pequenos chifres verdes.
Briófita,Marchantia polymorpha,Figuinho-do-chão,Corpo em formato de guarda-chuva minúsculo.
Briófita,Taxithelium sp.,Musgo-rasteiro,Cresce rente à madeira em locais muito úmidos.
Pteridófita,Cyathea microdonta,Samambaiaçu,Samambaia gigante que parece uma palmeira.
Pteridófita,Lygodium venustum,Avenca-trepadeira,"Única samambaia que ""escala"" outras plantas."
Pteridófita,Pityrogramma calomelanos,Samambaia-de-prata,O verso da folha tem um pó branco prateado.
Pteridófita,Blechnum occidentale,Samambaia-de-serra,Folhas avermelhadas quando são jovens.
Pteridófita,Adiantum deflectens,Avenca-de-baturité,Folhas delicadas e pretas no caule.
Pteridófita,Pleopeltis astrolepis,Samambaia-de-telha,Cresce sobre galhos e aguenta bem o sol.
Pteridófita,Dicranopteris flexuosa,Samambaia-de-barranco,Caules que se dividem sempre em dois (forquilha).
Pteridófita,Anemia hirta,Avenca-peluda,Folhas cobertas por pequenos pelos marrons.
Pteridófita,Goniopteris poiteana,Samambaia-de-mato,Folhas grandes e largas em locais de muita sombra.
Pteridófita,Pteris denticulata,Samambaia-dentada,As bordas das folhas parecem pequenos dentes.
Pteridófita,Serpocaulon triseriale,Samambaia-azul,Possui um tom verde-azulado metálico.
Pteridófita,Lycopodiella cernua,Pinheirinho-de-brejo,Parece um mini pinheiro rasteiro; comum em brejos.
Pteridófita,Selaginella convoluta,Flor-da-ressurreição,Enrola-se quando seca e abre quando chove.
Pteridófita,Adiantopsis radiata,Avenca-estrela,As folhas saem de um ponto central como uma estrela.
Pteridófita,Asplenium pumilum,Asplênio-miúdo,Cresce em frestas de rochas úmidas na serra.
Pteridófita,Microgramma vacciniifolia,Cipó-cabeludo,Folhas redondas que parecem moedas nos troncos.
Pteridófita,Pecluma sp.,Samambaia-pente,Folhas muito finas e organizadas como um pente.
Pteridófita,Doryopteris concolor,Samambaia-mão-de-sapapo,Formato da folha lembra uma mão aberta.
Pteridófita,Marsilea sp.,Trevo-de-quatro-folhas,Samambaia aquática que parece um trevo.
Pteridófita,Salvinia sp.,Samambaia-flutuante,Flutua na água; folhas com pelos que repelem água.
Gimnosperma,Podocarpus sellowii,Pinheiro-do-nordeste,Nativo. Folhas longas e estreitas; fruto é uma semente azulada.
Gimnosperma,Podocarpus lambertii,Pinheiro-bravo,Nativo. Tronco reto e casca que descama em tiras.
Gimnosperma,Araucaria angustifolia,Pinheiro-do-paraná,Árvore alta com galhos que parecem candelabros.
Gimnosperma,Cycas revoluta,Sagu,Parece uma pequena palmeira; folhas muito duras e espetadas.
Gimnosperma,Cupressus lusitanica,Cedrinho,Cheiro forte de resina; folhas em formato de escamas.
Gimnosperma,Pinus elliottii,Pinheiro-americano,Folhas em formato de agulhas bem longas.
Gimnosperma,Araucaria excelsa,Pinheiro-de-natal,Formato de cone perfeito; muito comum nas praças da cidade.
Gimnosperma,Thuja occidentalis,Tuia-limão,Cheiro de limão quando as folhas são esfregadas.
Gimnosperma,Juniperus virginiana,Junípero,Produz pequenas bolinhas que parecem frutos (cones).
Gimnosperma,Ginkgo biloba,Ginkgo,"Folhas em formato de leque; muito rara, usada em jardins."
Gimnosperma,Zamia furfuracea,Palma-de-papel,Folhas ovais e aveludadas; cresce rente ao solo.
Gimnosperma,Taxodium distichum,Cipreste-calvo,Perde as folhas no inverno (raro em Guaramiranga).
Gimnosperma,Agathis robusta,Pinheiro-de-damara,Tronco muito grosso e liso de cor acinzentada.
